gene_id	Mon96h_R2
ENSG00000006015.14	6.459057883
ENSG00000006016.7	0.004090642
ENSG00000006025.8	3.944912931
ENSG00000006062.10	1.841958001
ENSG00000006118.11	0.313468485
ENSG00000006125.13	7.555855807
ENSG00000006194.7	5.727193395
ENSG00000006210.6	0.228401758
ENSG00000006282.16	3.562099161
ENSG00000006327.10	4.944875917
ENSG00000006451.4	6.471023804
ENSG00000006453.10	0.018733422
ENSG00000006459.7	1.090499791
ENSG00000006468.10	0.588504816
ENSG00000006530.12	1.117346367
ENSG00000006534.12	9.870164032
ENSG00000006576.13	1.532783412
ENSG00000006607.10	1.244773631
ENSG00000006625.14	11.0193375
ENSG00000006634.4	5.125002644
ENSG00000006652.10	8.961677251
ENSG00000006695.7	1.673320748
ENSG00000006704.7	1.859942667
ENSG00000006712.11	13.15396189
ENSG00000006715.12	4.904177232
ENSG00000006740.13	0.057382286
ENSG00000006744.15	6.497540906
ENSG00000006747.11	0.013554562
ENSG00000006756.12	2.482708544
ENSG00000006757.8	2.59070227
ENSG00000006831.9	6.967713632
ENSG00000006837.8	0.81074487
ENSG00000007047.11	3.719304741
ENSG00000007080.7	23.02037356
ENSG00000007168.9	4.9240377
ENSG00000007202.11	47.70579992
ENSG00000007237.15	19.75832378
ENSG00000007255.7	3.284155686
ENSG00000007264.10	10.4518259
ENSG00000007341.15	6.30054299
ENSG00000007350.13	0.146220934
ENSG00000007372.17	0.004901829
ENSG00000007376.4	9.228048938
ENSG00000007384.12	0.086744127
ENSG00000007392.13	34.06350401
ENSG00000007516.10	0.072515028
ENSG00000007520.3	6.047842421
ENSG00000007541.11	4.019906307
ENSG00000007545.12	3.518386949
ENSG00000007866.15	0.839594664
ENSG00000007923.12	9.358562894
ENSG00000007944.11	1.279726512
ENSG00000007968.6	1.372692728
ENSG00000008018.8	28.77351422
ENSG00000008056.9	1.186353887
ENSG00000008083.10	9.006549134
ENSG00000008128.19	3.967606466
ENSG00000008130.12	51.84421969
ENSG00000008256.12	1.840684291
ENSG00000008282.4	10.43509918
ENSG00000008283.12	0.246244314
ENSG00000008294.17	17.5855533
ENSG00000008300.11	0.404535863
ENSG00000008324.7	6.59393712
ENSG00000008382.12	0.234658644
ENSG00000008394.9	112.2764095
ENSG00000008405.8	1.7182787
ENSG00000008438.4	0.078565104
ENSG00000008441.13	1.837973398
ENSG00000008513.11	12.1178953
ENSG00000008516.13	8.597511303
ENSG00000008517.13	0.957698099
ENSG00000008710.14	10.97162999
ENSG00000008838.14	38.46202683
ENSG00000008853.13	2.265307189
ENSG00000008869.8	4.438359431
ENSG00000008952.13	56.74002762
ENSG00000008988.6	304.1521255
ENSG00000009307.12	45.97118745
ENSG00000009335.14	5.292807083
ENSG00000009413.12	2.579316772
ENSG00000009780.12	2.268750275
ENSG00000009790.11	21.23145076
ENSG00000009830.8	4.346362186
ENSG00000009844.12	5.873254208
ENSG00000009950.12	2.524743205
ENSG00000009954.7	13.76008322
ENSG00000010017.10	8.956294383
ENSG00000010072.12	1.706650255
ENSG00000010165.16	4.688441791
ENSG00000010219.10	10.97927329
ENSG00000010244.13	58.44772161
ENSG00000010256.7	73.26475761
ENSG00000010270.10	14.17781053
ENSG00000010278.8	6.491439785
ENSG00000010292.9	11.9275033
ENSG00000010295.16	25.17016968
ENSG00000010310.5	2.281705758
ENSG00000010318.16	2.22033039
ENSG00000010319.3	0.179170087
ENSG00000010322.12	19.88868409
ENSG00000010361.10	2.768376346
ENSG00000010379.12	0.01340262
ENSG00000010404.14	7.062281451
